pattern,example_count,min_len,sequences
10220101,4,2,"(1,6,2) (3,4,8)"
10220110,4,2,"(1,6,2) (3,4,7)"
10221001,4,2,"(1,5,2) (3,4,8)"
10221010,4,2,"(1,5,2) (3,4,7)"
10221100,4,2,"(1,5,2) (3,4,6)"
11000011,40,2,"(2,7,3) (1,8,4)"
11000101,40,2,"(2,6,3) (1,8,4)"
11000110,40,2,"(2,6,3) (1,7,4)"
11000122,4,2,"(2,6,3) (1,7,4)"
11000212,4,2,"(2,6,3) (1,7,4)"
11000221,4,2,"(2,6,3) (1,8,4)"
11000333,3,2,"(2,6,3) (1,7,4)"
11001001,40,2,"(2,5,3) (1,8,4)"
11001010,40,2,"(2,5,3) (1,7,4)"
11001022,4,2,"(2,5,3) (1,7,4)"
11001100,40,2,"(2,5,3) (1,6,4)"
11001202,4,2,"(2,5,3) (1,6,4)"
11001220,4,2,"(2,5,3) (1,6,4)"
11001222,3,2,"(2,5,3) (1,6,4)"
11002012,4,2,"(2,5,3) (1,7,4)"
11002021,4,2,"(2,5,3) (1,8,4)"
11002102,4,2,"(2,5,3) (1,6,4)"
11002120,4,2,"(2,5,3) (1,6,4)"
11002122,3,2,"(2,5,3) (1,6,4)"
11002201,4,2,"(2,5,3) (1,8,4)"
11002210,4,2,"(2,5,3) (1,7,4)"
11002212,3,2,"(2,5,3) (1,7,4)"
11002221,3,2,"(2,5,3) (1,8,4)"
11003033,3,2,"(2,5,3) (1,7,4)"
11003303,3,2,"(2,5,3) (1,6,4)"
11003330,3,2,"(2,5,3) (1,6,4)"
11003333,1,2,"(2,5,3) (1,6,4)"
11010111,32,3,"(1,2,6) (3,4,7) (2,8,3)"
11011011,32,3,"(1,2,5) (3,4,7) (2,8,3)"
11011101,32,3,"(1,2,5) (3,4,6) (2,8,3)"
11011110,32,3,"(1,2,5) (3,4,6) (2,7,1)"
11011122,2,3,"(1,2,5) (3,4,6) (2,7,1)"
11011212,2,3,"(1,2,5) (3,4,6) (2,7,1)"
11011221,2,3,"(1,2,5) (3,4,6) (2,8,3)"
11011333,2,3,"(1,2,5) (3,4,6) (2,7,1)"
11012112,2,3,"(1,2,5) (3,4,6) (2,7,1)"
11012121,2,3,"(1,2,5) (3,4,6) (2,8,3)"
11012211,2,3,"(1,2,5) (3,4,7) (2,8,3)"
11013133,2,3,"(1,2,5) (3,4,6) (2,7,1)"
11013313,2,3,"(1,2,5) (3,4,6) (2,7,1)"
11013331,2,3,"(1,2,5) (3,4,6) (2,8,3)"
11014444,1,3,"(1,2,5) (3,4,6) (2,7,1)"
11100111,32,3,"(1,2,6) (3,7,4) (2,8,3)"
11101011,32,3,"(1,2,5) (3,7,4) (2,8,3)"
11101101,32,3,"(1,2,5) (3,6,4) (2,8,3)"
11101110,32,3,"(1,2,5) (3,6,4) (2,7,1)"
11101122,2,3,"(1,2,5) (3,6,4) (2,7,1)"
11101212,2,3,"(1,2,5) (3,6,4) (2,7,1)"
11101221,2,3,"(1,2,5) (3,6,4) (2,8,3)"
11101333,2,3,"(1,2,5) (3,6,4) (2,7,1)"
11102112,2,3,"(1,2,5) (3,6,4) (2,7,1)"
11102121,2,3,"(1,2,5) (3,6,4) (2,8,3)"
11102211,2,3,"(1,2,5) (3,7,4) (2,8,3)"
11103133,2,3,"(1,2,5) (3,6,4) (2,7,1)"
11103313,2,3,"(1,2,5) (3,6,4) (2,7,1)"
11103331,2,3,"(1,2,5) (3,6,4) (2,8,3)"
11104444,1,3,"(1,2,5) (3,6,4) (2,7,1)"
11111111,31,,"(1,2,5) (3,4,6) (2,6,7) (4,5,8)"
11220111,2,3,"(1,2,6) (3,4,7) (2,8,3)"
11221011,2,3,"(1,2,5) (3,4,7) (2,8,3)"
11221101,2,3,"(1,2,5) (3,4,6) (2,8,3)"
11221110,2,3,"(1,2,5) (3,4,6) (2,7,1)"
12020011,4,2,"(1,7,2) (3,4,8)"
12020101,4,2,"(1,6,2) (3,4,8)"
12020110,4,2,"(1,6,2) (3,4,7)"
12021001,4,2,"(1,5,2) (3,4,8)"
12021010,4,2,"(1,5,2) (3,4,7)"
12021100,4,2,"(1,5,2) (3,4,6)"
12120111,2,3,"(1,2,6) (3,7,4) (2,8,3)"
12121011,2,3,"(1,2,5) (3,7,4) (2,8,3)"
12121101,2,3,"(1,2,5) (3,6,4) (2,8,3)"
12121110,2,3,"(1,2,5) (3,6,4) (2,7,1)"
12200011,4,2,"(1,7,2) (3,8,4)"
12200101,4,2,"(1,6,2) (3,8,4)"
12200110,4,2,"(1,6,2) (3,7,4)"
