1,18,24  algorithm: [U 3B2 U',2L']
1,19,20  algorithm: [3D 2B 3D', B]
1,19,21  algorithm: B' [U' 2L U,3L2] B
1,19,22  algorithm: [B 2R' B',3L']
1,19,23  algorithm: [D' 3L D,2B2]
1,19,24  algorithm: [B' 2L B,3L']
1,20,21  algorithm: [U 2R' U',3L2]
1,20,22  algorithm: [U' 3F2 U,2R]
1,20,23  algorithm: [3L' B' 3L,2B2]
1,20,24  algorithm: B2 [U 3B2 U',2L'] B2
1,21,22  algorithm: [3L2,U 2R2 U']
1,21,23  algorithm: 
1,21,24  algorithm: [3L2,U' 2L2 U]
1,22,23  algorithm: [U' 3F2 U,2B2]
1,22,24  algorithm: 
1,23,24  algorithm: D2 [3L2,U 2R2 U'] D2
2,3,5  algorithm: [3R 2U 3R', U]
2,3,6  algorithm: [L' 3B L,2F']
2,3,7  algorithm: [U',3B' 2D2 3B]
2,3,8  algorithm: [U',2R 3D' 2R']
2,3,9  algorithm: [3R 2U2 3R', U]
2,3,10  algorithm: [2F' 3U 2F, U]
2,3,11  algorithm: [F' 2R' F,3R']
2,3,12  algorithm: [U',2R 3D2 2R']
2,3,13  algorithm: [3R 2U' 3R', U]
2,3,14  algorithm: [2F' 3U2 2F, U]
2,3,15  algorithm: [3B',R 2F R']
2,3,16  algorithm: [R' 3B' R,2F]
2,3,17  algorithm: [B' 2R B,3R]
2,3,18  algorithm: [2F' 3U' 2F, U]
2,3,19  algorithm: [U',3B' 2D' 3B]
2,3,20  algorithm: U' [B' 3L' B,2R] U
2,3,21  algorithm: [D' 3B2 D,2F2]
2,3,22  algorithm: U' [D' 3L2 D,2R2] U
2,3,23  algorithm: [D' 2R2 D,3R2]
2,3,24  algorithm: [3B2,D 2F2 D']
2,4,5  algorithm: L2 [U2,3B' 2D2 3B] L2
2,4,6  algorithm: [2L' 3U 2L, U2]
2,4,7  algorithm: [U2,3B' 2D2 3B]
2,4,8  algorithm: L' [U2,3B' 2D2 3B] L
2,4,9  algorithm: [3F 2U' 3F', U2]
2,4,10  algorithm: [2L' 3U2 2L, U2]
2,4,11  algorithm: [3F' 2D' 3F, U2]
2,4,12  algorithm: F [3F 2U' 3F', U2] F'
2,4,13  algorithm: [U2,3B 2U2 3B']
2,4,14  algorithm: [2L' 3U' 2L, U2]
2,4,15  algorithm: [3F' 2D2 3F, U2]
2,4,16  algorithm: R [U2,3B 2U2 3B'] R'
2,4,17  algorithm: [3F 2U 3F', U2]
2,4,18  algorithm: U [U2,2F' 3U' 2F] U'
2,4,19  algorithm: [3F' 2D 3F, U2]
2,4,20  algorithm: B [3F 2U 3F', U2] B'
2,4,21  algorithm: 
2,4,22  algorithm: 
2,4,23  algorithm: 
2,4,24  algorithm: 
2,5,6  algorithm: L [L',3U' 2R' 3U] L'
2,5,7  algorithm: [3F' 2R2 3F, L2]
2,5,8  algorithm: [3D' 2R 3D,L']
2,5,9  algorithm: [R' 2U R,3B]
2,5,10  algorithm: [D' 3B' D,2R]
2,5,11  algorithm: [2U' F2 2U,3B]
2,5,12  algorithm: [2U' F 2U,3B]
2,5,13  algorithm: [3F' U2 3F,2U2]
2,5,14  algorithm: [R' 2U2 R,3B]
2,5,15  algorithm: [U2 2L2 U2,3B']
